proposal_type	n_mutations	mean MI value
msa_prob_dist	1040	0.19260725809471405
msa_prob_dist	1060	0.19200020056431688
msa_prob_dist	1080	0.19140425895856875
msa_prob_dist	1100	0.19081384476120614
msa_prob_dist	1120	0.19170601089458209
msa_prob_dist	1140	0.19096451003456208
msa_prob_dist	1160	0.19115563681241254
msa_prob_dist	1180	0.1923946822797745
msa_prob_dist	1200	0.19112799178766557
msa_prob_dist	1220	0.18998156078569137
msa_prob_dist	1240	0.18994689997048825
msa_prob_dist	1260	0.1899178098520216
msa_prob_dist	1280	0.18886998254395107
msa_prob_dist	1300	0.18861051307452276
msa_prob_dist	1320	0.1885087203723179
msa_prob_dist	1340	0.18864669606449538
msa_prob_dist	1360	0.18939129528144535
msa_prob_dist	1380	0.19005258888480261
msa_prob_dist	1400	0.18985490453301904
msa_prob_dist	1420	0.18998780604431373
msa_prob_dist	1440	0.1890354662447168
msa_prob_dist	1460	0.18834303792568724
msa_prob_dist	1480	0.18683124425663422
msa_prob_dist	1500	0.1866806924676182
msa_prob_dist	1520	0.18541183831372723
msa_prob_dist	1540	0.18668626956145293
msa_prob_dist	1560	0.1864673008238111
msa_prob_dist	1580	0.18571737285897702
msa_prob_dist	1600	0.18632309242433184
msa_prob_dist	1620	0.1856330026024315
msa_prob_dist	1640	0.18514202285724896
msa_prob_dist	1660	0.18710175882290705
msa_prob_dist	1680	0.18721465660843245
msa_prob_dist	1700	0.1880610646644293
msa_prob_dist	1720	0.18815252161053703
msa_prob_dist	1740	0.1887177974821292
msa_prob_dist	1760	0.18727610206200945
msa_prob_dist	1780	0.18662735391142152
msa_prob_dist	1800	0.18617430628672843
msa_prob_dist	1820	0.18715822719185912
msa_prob_dist	1840	0.18829836427547067
msa_prob_dist	1860	0.18737826973481142
msa_prob_dist	1880	0.18655322969849883
msa_prob_dist	1900	0.18645557364025284
msa_prob_dist	1920	0.18646072736293956
msa_prob_dist	1940	0.18501363241014174
msa_prob_dist	1960	0.18498072701727036
msa_prob_dist	1980	0.18458138382328917
msa_prob_dist	2000	0.1846795194340754
random	1	0.4175668143914479
random	2	0.4141772327306426
random	3	0.4108869405247795
random	4	0.4080605567113336
random	5	0.40506244920640055
random	6	0.4021158491309419
random	7	0.3990952270954824
random	8	0.39674062535801635
random	9	0.3942753957599163
random	10	0.3916969021263896
random	11	0.3892728720752157
random	12	0.38711306852166255
random	13	0.3845462727539461
random	14	0.38243525819995
random	15	0.3795633190345294
random	16	0.3770595543321617
random	17	0.3747994059532328
random	18	0.37314266236571225
random	19	0.37063515412612885
random	20	0.36834299843303736
random	40	0.33429727973591267
random	60	0.3119133617633972
random	80	0.2932872318816927
random	100	0.2819578005912141
random	120	0.2696297784029032
random	140	0.26288910372630436
random	160	0.2543067948726026
random	180	0.2489486989459344
random	200	0.242634065888732
random	220	0.24148112700841248
random	240	0.23876412237942804
random	260	0.23478905918628803
random	280	0.2316828587767738
random	300	0.2286153475064183
random	320	0.22775654076169388
random	340	0.22488916915119667
random	360	0.2240827557874332
random	380	0.22197802912728531
random	400	0.2195348920938555
random	420	0.21840934103568654
random	440	0.21782072796428076
random	460	0.21681410724778355
random	480	0.21483991343363923
random	500	0.21315689109540079
random	520	0.21148972324061868
random	540	0.21161777530529183
random	560	0.21002020137102043
random	580	0.2106673773152636
random	600	0.2095288300327206
random	620	0.20902142861807246
random	640	0.20715969448306334
random	660	0.2063476198483221
random	680	0.20558198691697105
random	700	0.20485851537115018
random	720	0.20368170481560902
random	740	0.20244897605797693
random	760	0.20351050765110668
random	780	0.20319683447225306
