proposal_type	n_mutations	mean MI value	sim_ind
random	140	0.2598118269333616	2
random	160	0.2530785250908583	2
random	180	0.24647926202839276	2
random	200	0.24118732837493187	2
random	220	0.2365632180520783	2
random	240	0.23368642462476977	2
random	260	0.23197172491206855	2
random	280	0.22951598173630322	2
random	300	0.2270677128252304	2
random	320	0.22531804974626704	2
random	340	0.22318837150566667	2
random	360	0.22087187626494986	2
random	380	0.22044425272530427	2
random	400	0.21813072523908733	2
random	420	0.21711206285200363	2
random	440	0.21504491973651202	2
random	460	0.21340351945259145	2
random	480	0.21142715032281095	2
random	500	0.21013805080534442	2
random	520	0.2093574036202045	2
random	540	0.20898690294072397	2
random	560	0.2089222016949569	2
random	580	0.20783409082995552	2
random	600	0.20776649345690715	2
random	620	0.20602662446325443	2
random	640	0.20544355736840292	2
random	660	0.20478144421900404	2
random	680	0.2043833025823338	2
random	700	0.20289575355149786	2
random	720	0.2045091999660274	2
random	740	0.2033502070460582	2
random	760	0.200935420422304	2
random	780	0.20051835755812678	2
random	800	0.1986395954294251	2
random	820	0.19869586238835274	2
random	840	0.1984338240334032	2
random	860	0.19981712649532815	2
random	880	0.19780671707745295	2
random	900	0.19693412000768898	2
random	920	0.19532056835865363	2
random	940	0.1968657070758398	2
random	960	0.19520452321843443	2
random	980	0.19496787306920105	2
random	1000	0.1938975356057974	2
msa_prob_dist	20	0.35610501434431885	3
msa_prob_dist	40	0.31503820014555545	3
msa_prob_dist	60	0.28758502134093955	3
msa_prob_dist	80	0.2702014359450464	3
msa_prob_dist	100	0.2549077744497631	3
msa_prob_dist	120	0.24549222528460024	3
msa_prob_dist	140	0.23686068138922295	3
msa_prob_dist	160	0.2334617287231251	3
msa_prob_dist	180	0.227607488687352	3
msa_prob_dist	200	0.2241332243360044	3
msa_prob_dist	220	0.22005368925872648	3
msa_prob_dist	240	0.21889732132877882	3
msa_prob_dist	260	0.21669860415948922	3
msa_prob_dist	280	0.21475119949954594	3
msa_prob_dist	300	0.21427768110638123	3
msa_prob_dist	320	0.21233820223264102	3
msa_prob_dist	340	0.21178624689076908	3
msa_prob_dist	360	0.21022459896597626	3
msa_prob_dist	380	0.20965796441052229	3
msa_prob_dist	400	0.20671954470689444	3
msa_prob_dist	420	0.2043286701696901	3
msa_prob_dist	440	0.20413666368114786	3
msa_prob_dist	460	0.20247049622307833	3
msa_prob_dist	480	0.19992167670001368	3
