sequence_name	n_mutations	proposal_type	hmmer_seq_score
seq4	3000	msa_prob_dist	106.7
seq8	3000	msa_prob_dist	94.7
seq7	3000	msa_prob_dist	60.2
seq1	3000	msa_prob_dist	58.7
seq9	3000	msa_prob_dist	19.3
seq2	3100	msa_prob_dist	149.6
seq6	3100	msa_prob_dist	123.9
seq5	3100	msa_prob_dist	123.1
seq4	3100	msa_prob_dist	96.8
seq8	3100	msa_prob_dist	83.4
seq1	3100	msa_prob_dist	68.0
seq7	3100	msa_prob_dist	59.0
seq9	3100	msa_prob_dist	35.1
seq2	3200	msa_prob_dist	144.0
seq5	3200	msa_prob_dist	132.1
seq6	3200	msa_prob_dist	127.6
seq4	3200	msa_prob_dist	100.4
seq8	3200	msa_prob_dist	87.8
seq7	3200	msa_prob_dist	71.2
seq9	3200	msa_prob_dist	38.1
seq1	3200	msa_prob_dist	38.1
seq2	3300	msa_prob_dist	152.4
seq5	3300	msa_prob_dist	135.6
seq6	3300	msa_prob_dist	117.0
seq8	3300	msa_prob_dist	104.2
seq4	3300	msa_prob_dist	90.1
seq7	3300	msa_prob_dist	66.4
seq9	3300	msa_prob_dist	38.2
seq1	3300	msa_prob_dist	27.5
seq2	3400	msa_prob_dist	151.9
seq5	3400	msa_prob_dist	131.3
seq6	3400	msa_prob_dist	107.9
seq4	3400	msa_prob_dist	97.8
seq8	3400	msa_prob_dist	95.0
seq7	3400	msa_prob_dist	66.1
seq9	3400	msa_prob_dist	41.3
seq1	3400	msa_prob_dist	20.1
seq5	3500	msa_prob_dist	154.1
seq2	3500	msa_prob_dist	141.0
seq4	3500	msa_prob_dist	126.7
seq6	3500	msa_prob_dist	103.5
seq8	3500	msa_prob_dist	101.2
seq7	3500	msa_prob_dist	79.4
seq9	3500	msa_prob_dist	79.4
seq1	3500	msa_prob_dist	14.0
seq5	3600	msa_prob_dist	148.7
seq2	3600	msa_prob_dist	131.1
seq4	3600	msa_prob_dist	122.6
seq6	3600	msa_prob_dist	114.7
seq8	3600	msa_prob_dist	101.0
seq7	3600	msa_prob_dist	87.5
seq9	3600	msa_prob_dist	82.5
seq1	3600	msa_prob_dist	5.9
seq5	3700	msa_prob_dist	150.1
seq2	3700	msa_prob_dist	139.5
seq4	3700	msa_prob_dist	133.3
seq7	3700	msa_prob_dist	130.2
seq6	3700	msa_prob_dist	106.0
seq9	3700	msa_prob_dist	101.4
seq8	3700	msa_prob_dist	88.6
seq1	3700	msa_prob_dist	15.9
seq5	3800	msa_prob_dist	152.1
seq2	3800	msa_prob_dist	150.5
seq4	3800	msa_prob_dist	141.1
seq7	3800	msa_prob_dist	135.0
seq6	3800	msa_prob_dist	131.6
seq8	3800	msa_prob_dist	97.8
seq9	3800	msa_prob_dist	92.3
seq1	3800	msa_prob_dist	15.3
seq2	3900	msa_prob_dist	161.6
seq5	3900	msa_prob_dist	148.6
seq7	3900	msa_prob_dist	144.2
seq4	3900	msa_prob_dist	137.0
seq6	3900	msa_prob_dist	131.2
seq8	3900	msa_prob_dist	99.4
seq9	3900	msa_prob_dist	96.5
seq1	3900	msa_prob_dist	19.5
seq5	4000	msa_prob_dist	147.4
seq2	4000	msa_prob_dist	145.4
seq6	4000	msa_prob_dist	143.1
seq7	4000	msa_prob_dist	141.6
seq4	4000	msa_prob_dist	127.1
seq8	4000	msa_prob_dist	91.7
seq9	4000	msa_prob_dist	82.4
seq1	4000	msa_prob_dist	15.1
seq6	4100	msa_prob_dist	155.7
seq5	4100	msa_prob_dist	144.7
seq2	4100	msa_prob_dist	139.3
seq4	4100	msa_prob_dist	130.4
seq7	4100	msa_prob_dist	128.2
seq8	4100	msa_prob_dist	123.7
seq9	4100	msa_prob_dist	84.0
seq1	4100	msa_prob_dist	22.4
seq3	4100	msa_prob_dist	-0.3
seq5	4200	msa_prob_dist	156.4
seq6	4200	msa_prob_dist	150.3
seq4	4200	msa_prob_dist	149.1
seq2	4200	msa_prob_dist	130.9
seq7	4200	msa_prob_dist	129.6
seq8	4200	msa_prob_dist	129.2
seq9	4200	msa_prob_dist	101.9
seq1	4200	msa_prob_dist	30.1
seq3	4200	msa_prob_dist	-0.9
seq6	4300	msa_prob_dist	149.5
seq5	4300	msa_prob_dist	146.4
seq8	4300	msa_prob_dist	141.9
seq2	4300	msa_prob_dist	140.6
seq4	4300	msa_prob_dist	136.4
seq7	4300	msa_prob_dist	124.5
seq9	4300	msa_prob_dist	103.3
seq1	4300	msa_prob_dist	30.7
seq4	4400	msa_prob_dist	149.1
seq6	4400	msa_prob_dist	147.2
seq8	4400	msa_prob_dist	146.5
seq5	4400	msa_prob_dist	138.7
seq2	4400	msa_prob_dist	136.4
seq7	4400	msa_prob_dist	123.2
seq9	4400	msa_prob_dist	97.1
seq1	4400	msa_prob_dist	37.4
seq0	4400	msa_prob_dist	-1.7
seq3	4400	msa_prob_dist	-2.5
seq8	4500	msa_prob_dist	158.1
seq6	4500	msa_prob_dist	157.9
seq4	4500	msa_prob_dist	154.5
seq2	4500	msa_prob_dist	151.3
seq5	4500	msa_prob_dist	127.9
seq7	4500	msa_prob_dist	126.7
seq9	4500	msa_prob_dist	89.7
seq1	4500	msa_prob_dist	44.2
seq0	4500	msa_prob_dist	-0.6
seq3	4500	msa_prob_dist	-2.6
seq8	4600	msa_prob_dist	162.3
seq4	4600	msa_prob_dist	151.2
seq6	4600	msa_prob_dist	149.3
seq2	4600	msa_prob_dist	140.7
seq5	4600	msa_prob_dist	137.6
seq9	4600	msa_prob_dist	129.6
seq7	4600	msa_prob_dist	125.4
seq1	4600	msa_prob_dist	64.4
seq0	4600	msa_prob_dist	-0.5
seq3	4600	msa_prob_dist	-2.6
seq4	4700	msa_prob_dist	165.0
seq8	4700	msa_prob_dist	160.9
seq7	4700	msa_prob_dist	153.9
seq6	4700	msa_prob_dist	146.7
seq2	4700	msa_prob_dist	143.1
seq5	4700	msa_prob_dist	141.0
seq9	4700	msa_prob_dist	134.0
seq1	4700	msa_prob_dist	88.9
seq0	4700	msa_prob_dist	-5.5
seq7	4800	msa_prob_dist	154.1
seq2	4800	msa_prob_dist	153.5
seq8	4800	msa_prob_dist	150.9
seq6	4800	msa_prob_dist	148.0
seq5	4800	msa_prob_dist	145.4
seq4	4800	msa_prob_dist	128.9
seq9	4800	msa_prob_dist	122.2
seq1	4800	msa_prob_dist	88.7
seq0	4800	msa_prob_dist	-1.9
seq3	4800	msa_prob_dist	-2.4
seq2	4900	msa_prob_dist	159.0
seq8	4900	msa_prob_dist	151.8
seq4	4900	msa_prob_dist	147.7
seq9	4900	msa_prob_dist	140.8
seq6	4900	msa_prob_dist	139.4
seq5	4900	msa_prob_dist	138.0
seq7	4900	msa_prob_dist	134.2
seq1	4900	msa_prob_dist	88.8
seq0	4900	msa_prob_dist	-0.5
seq3	4900	msa_prob_dist	-2.7
seq2	5000	msa_prob_dist	153.6
seq4	5000	msa_prob_dist	149.2
seq8	5000	msa_prob_dist	147.0
seq6	5000	msa_prob_dist	143.4
seq7	5000	msa_prob_dist	135.7
seq9	5000	msa_prob_dist	133.8
seq5	5000	msa_prob_dist	124.7
seq1	5000	msa_prob_dist	100.3
seq0	5000	msa_prob_dist	-1.0
seq3	5000	msa_prob_dist	-3.2
seq2	5100	msa_prob_dist	155.3
seq4	5100	msa_prob_dist	149.3
seq7	5100	msa_prob_dist	148.0
seq8	5100	msa_prob_dist	144.4
seq5	5100	msa_prob_dist	138.5
seq6	5100	msa_prob_dist	135.7
seq9	5100	msa_prob_dist	115.8
seq1	5100	msa_prob_dist	88.6
seq0	5100	msa_prob_dist	0.9
seq3	5100	msa_prob_dist	-2.7
seq4	5200	msa_prob_dist	156.1
seq2	5200	msa_prob_dist	153.0
seq5	5200	msa_prob_dist	146.1
seq8	5200	msa_prob_dist	138.7
seq7	5200	msa_prob_dist	135.4
seq6	5200	msa_prob_dist	134.2
seq9	5200	msa_prob_dist	123.0
seq1	5200	msa_prob_dist	85.7
seq0	5200	msa_prob_dist	0.6
seq3	5200	msa_prob_dist	-3.6
seq4	5300	msa_prob_dist	149.9
seq6	5300	msa_prob_dist	149.4
seq5	5300	msa_prob_dist	148.0
seq2	5300	msa_prob_dist	142.0
seq8	5300	msa_prob_dist	137.7
seq7	5300	msa_prob_dist	133.9
seq9	5300	msa_prob_dist	111.7
seq1	5300	msa_prob_dist	98.5
seq0	5300	msa_prob_dist	-0.8
seq3	5300	msa_prob_dist	-2.9
seq2	5400	msa_prob_dist	149.9
seq6	5400	msa_prob_dist	144.3
seq8	5400	msa_prob_dist	143.6
seq7	5400	msa_prob_dist	143.1
seq4	5400	msa_prob_dist	139.4
seq5	5400	msa_prob_dist	138.6
seq9	5400	msa_prob_dist	131.9
seq1	5400	msa_prob_dist	107.7
