tool	family	seed_number	RMSE (training)	RMSE (test)	MAE (training)	MAE (test)	R^2 (test)	Pearson (test)
nat	PF00005	4386	0.013170375781412754	0.02109978077249928	0.010400671418246785	0.01756118551768226	0.8024638658039489	0.9007821689248391
nat	PF00005	4327	0.012153206380317824	0.026547660514553602	0.009652881818849424	0.01883212405671463	0.7908497636456223	0.8944794118252073
nat	PF00005	6972	0.012603144051485684	0.021181217565048586	0.010057741818397052	0.016606690269155178	0.8561384459262587	0.9382080257607148
nat	PF00005	941	0.011963380433576873	0.035065772772926995	0.009472886977539438	0.02197661164371225	0.5051147373098428	0.7989136006799047
nat	PF00005	2014	0.011684742583523628	0.045669987675116944	0.009206076642284207	0.02669598932733387	0.1725128254524757	0.6640608657129154
nat	PF00005	8582	0.011686278224687404	0.022305904034521186	0.009295813137048924	0.01774763142147455	0.7539675326098552	0.8847597828821749
nat	PF00041	859	0.022257999297293187	0.026851446561043622	0.01758775176424154	0.020426633690112165	0.8068460766063513	0.9023035561942776
nat	PF00041	7733	0.02200799046564123	0.027370479249495254	0.017412476418215174	0.020505233903749392	0.802042312436912	0.9005372174289508
nat	PF00041	891	0.020912228881189408	0.04879506996993204	0.01639228304974714	0.029290584718774444	0.5275914267296796	0.81817126157672
nat	PF00041	6541	0.021928306297853962	0.02878216168376908	0.01694999855848551	0.022252953482212044	0.7751773723884294	0.8893995595664226
nat	PF00041	4386	0.021753012779231827	0.032900395704882984	0.017298705400474873	0.0229448279814787	0.5831474854418288	0.8014304788681255
nat	PF00041	4327	0.021639028534526084	0.032009655693397296	0.017087146176492436	0.02245325529546524	0.6581320807398685	0.8336331571363146
nat	PF00041	6972	0.02112939544868918	0.03306261556105295	0.016674342988103916	0.025296309429853826	0.7760143672559071	0.884792432980099
nat	PF00041	941	0.02223758861281995	0.02874943634103554	0.01763615534982712	0.021596295401536694	0.7583904122949556	0.8792342745634603
nat	PF00041	2014	0.022667281918201193	0.03144673174087327	0.01778838862447862	0.020969348527587507	0.72803305641271	0.8879588463245076
nat	PF00041	8582	0.021920923408293384	0.03272747251008421	0.01738945256950373	0.022311553385136136	0.7133764592841476	0.867471782832469
nat	PF00072	859	0.012269404488505454	0.019132974717534147	0.009942197305371273	0.01497135522600987	0.8345162161480614	0.9155245426520744
nat	PF00072	7733	0.01228416895561606	0.020356847996559294	0.009859497033124371	0.013846299106159372	0.7520412095292742	0.8701857403841464
nat	PF00072	891	0.012103860616520822	0.02656703554804807	0.009925312564304895	0.02118536328641409	0.6851725415828571	0.8559985661218403
nat	PF00072	6541	0.012838884470203323	0.020176253695011085	0.010208091102172499	0.015657248052478527	0.8187264078195601	0.9084725563348246
nat	PF00072	4386	0.012647350762888759	0.022333249934118816	0.010059689746861177	0.01804477251371529	0.8021082756145566	0.9191610602838232
