tool	family	seed_number	RMSE (training)	RMSE (test)	MAE (training)	MAE (test)	R^2 (test)	Pearson (test)
nat	PF00072	2014	1.876827039177119e-13	0.12323325292396493	3.146495409901541e-14	0.09645920237291913	0.11400871354525133	0.7187375578530675
nat	PF00072	8582	1.0494249421495981e-11	0.13348539382307711	1.66758335535317e-12	0.10231035188714793	-0.005722957355936087	0.6327001035380919
nat	PF00076	859	1.3720324571929068e-15	0.13249829720513429	1.1942014328980851e-15	0.10072253882739267	0.001178160898394509	0.49601875620882263
nat	PF00076	7733	9.076641040931452e-12	0.14462947563189177	1.0314263688152381e-12	0.11343516756948106	-0.07586755963970804	0.4173099294732938
nat	PF00076	891	9.091044275755994e-16	0.13993507676664632	5.209508038625735e-16	0.10838779985389992	0.01549534405391384	0.5232089032659084
nat	PF00076	6541	3.2084674619410853e-15	0.1742303023374793	1.0468833777074392e-15	0.13275531360065246	-0.6004444139868352	0.22611989841666594
nat	PF00076	4386	2.2658693251984167e-15	0.12430628596451423	2.16671410158416e-15	0.09528044643506713	0.09110466192742295	0.5556452255097895
nat	PF00076	4327	3.5879726654990824e-15	0.1525512412868017	3.448096509172361e-15	0.11321683663913816	-0.23340826765577893	0.38242714697975655
nat	PF00076	6972	1.7038507605959628e-13	0.16481957366041772	2.1553271987674914e-14	0.13029446401558534	-0.6166217246906911	0.3826790536226761
nat	PF00076	941	1.2830626669420938e-11	0.1477947874746735	1.4539409562348445e-12	0.11881047287473992	-0.030480692055989467	0.5265111888244837
nat	PF00076	2014	1.7932197921732896e-11	0.3948537319898447	2.0344808458998952e-12	0.35564671649725427	-8.21322598029158	0.03185680902246166
nat	PF00076	8582	1.3801284692240767e-15	0.1380862795855298	9.223391281501301e-16	0.10864374321225834	-0.015231134773828314	0.5497240124273454
nat	PF00096	859	0.058921481458250796	0.16454899890973704	0.04587183785688797	0.12484371083123753	-0.27078159116445977	0.23904771823710472
nat	PF00096	7733	0.06632978231742233	0.16710443917716547	0.052326714528437415	0.12644914786784117	-0.4037878656180163	0.44069396679110495
nat	PF00096	891	0.06502600895265837	0.15775918742073455	0.05206552766943621	0.12336380083920752	-0.28353966565240873	0.31251208442831735
nat	PF00096	6541	0.06412101819844625	0.16330072487450698	0.05086002423189674	0.12396871507134309	-0.37896847714747284	0.3002678182178083
nat	PF00096	4386	0.06663770147385031	0.17201531271223713	0.052009131668778345	0.12828538395059733	-0.563470046129239	0.34912083871200006
nat	PF00096	4327	0.06751764153999096	0.16370422647823343	0.05349974835065238	0.12498372029130535	-0.3557708575702425	0.3605239106253367
nat	PF00096	6972	0.06463163073406913	0.15129296273381482	0.050003564257788645	0.11480022778964204	-0.18932560664231235	0.3706547793891259
nat	PF00096	941	0.07284575403730867	0.15826704218390342	0.05784649152116131	0.1202896152841275	-0.37290285159324355	0.4282092554933365
nat	PF00096	2014	0.07393193190143	0.16119431075012258	0.05854696383735674	0.12262732615601257	-0.36049531971221804	0.4271255361831301
nat	PF00096	8582	0.06449758889762612	0.15415038648812546	0.04971965794823882	0.1191458068033001	-0.2619642798111359	0.38026443841487056
nat	PF00153	859	0.044951648224513995	0.1168490307098955	0.034053493216464364	0.08822551996035526	0.06390697324494199	0.5534458907788474
nat	PF00153	7733	0.04462180779538398	0.138437486563101	0.03478310198773166	0.10821564620673581	-0.3627594424795062	0.48247485533848095
nat	PF00153	891	0.04904119253298407	0.14251465311578132	0.03833272968776802	0.10714221763392537	-0.48242904522267427	0.5472242003769827
nat	PF00153	6541	0.056634070595853805	0.13248075133028903	0.0441715416086829	0.09876822370740315	-0.16153124194068536	0.45860209417831205
nat	PF00153	4386	0.047147179699873094	0.11926474845536358	0.03705033760061562	0.09263032706257851	0.03510894199834569	0.510628233759483
nat	PF00153	4327	0.04475242398663861	0.13455117471040148	0.03505823419909718	0.09985001269524733	-0.3046988388971519	0.42327722281670754
nat	PF00153	6972	0.04042642432153202	0.1217222949629258	0.03250657255905349	0.09296145544145007	0.04353488110815096	0.46372715968522815
nat	PF00153	941	0.04463313962464466	0.15021031399863094	0.03541680237364168	0.10748851997435664	-0.5069232344108054	0.4641254011805314
nat	PF00153	2014	0.04543398805934639	0.11477630800490303	0.03592787938952295	0.08734597971914311	0.18151783308119263	0.5544948710597518
nat	PF00153	8582	0.046948109485654525	0.13173580856550116	0.03575583672638718	0.10404812322831297	-0.20133448573027746	0.6043553533027809
nat	PF00271	859	0.04783719658311094	0.07662616162938905	0.03785347877162607	0.05725655626905319	0.5175274717780367	0.7498205297021281
nat	PF00271	7733	0.05296108141345253	0.07792767705606544	0.0416617128312674	0.058975146253256214	0.4821927514172297	0.7617519692665989
nat	PF00271	891	0.04674617980076118	0.0749907818354475	0.03731022735426823	0.05730798601804887	0.5471673991283289	0.7689954827156408
nat	PF00271	6541	0.0528881333491157	0.07414361262381367	0.040852790469506066	0.055356874612008826	0.5614242581222213	0.7652472471368066
nat	PF00271	4386	0.04969736536239694	0.07650153487908695	0.03937800881334535	0.05577430103988189	0.5442945620462534	0.758500216863248
nat	PF00271	4327	0.052451358332898025	0.06959079898605139	0.041968597904340446	0.053008533851726464	0.6171186974774543	0.7957209257404664
nat	PF00271	6972	0.051401009067766436	0.06856420552808151	0.04064936445378354	0.053339960172324494	0.6331694295290814	0.8059275176417047
nat	PF00271	941	0.04662567680309384	0.07441223712912307	0.03702758723393832	0.05494425617421523	0.5758798908705682	0.7705735584157545
nat	PF00271	2014	0.05225917649868135	0.07494049230600291	0.041560797738301965	0.05527765136709116	0.5664623884841083	0.75772153621696
nat	PF00271	8582	0.04535650717404002	0.07125773967128132	0.035769193715974944	0.05370747509918794	0.5986278309005436	0.7805233387934909
nat	PF00397	859	0.10611005955894623	0.13353334382608933	0.0850751220758008	0.10662666631204135	0.1838186259363611	0.48660370014921805
nat	PF00397	7733	0.10684517276513411	0.1293024545220642	0.08699679737038733	0.10293545428889542	0.24414228810063576	0.5141455761229436
nat	PF00397	891	0.11961728082118268	0.13068092640322804	0.09776532891070241	0.10423180465517719	0.19190497466094636	0.5196455495099842
nat	PF00397	6541	0.09669369925743206	0.13299983070492088	0.07750799210175591	0.10620599454726937	0.1999165093730838	0.48005096462185637
nat	PF00397	4386	0.1029744270343775	0.133189034140157	0.08326501905899421	0.10699412189528898	0.20987464440939996	0.4969452166819217
nat	PF00397	4327	0.10880558366250812	0.1291705191744183	0.08798510240129132	0.10346225171976939	0.23919832807315566	0.5117654679634539
nat	PF00397	6972	0.10108093318847229	0.13143205881680353	0.08079830693733304	0.10459846882384756	0.2250707695930828	0.5004571373095172
nat	PF00397	941	0.11342631582372034	0.12977365791222206	0.09239463584531873	0.10261366068137878	0.2280147681935164	0.524299600702625
nat	PF00397	2014	0.09928704860188634	0.1342571704777238	0.08019057725642527	0.1060638670451201	0.2005596277427355	0.5011088124933113
nat	PF00397	8582	0.10938563895826377	0.12785071206087747	0.08803898716208318	0.10171908964419246	0.259732485281137	0.5282836739901638
nat	PF00512	859	0.05336123331373249	0.12317710710679285	0.041937597932989824	0.08911459799345722	0.2853263130120073	0.5998092042642983
nat	PF00512	7733	0.0698160092986716	0.10866422134133213	0.055494643076107936	0.08357865908445354	0.4106550382017171	0.6886217198891925
nat	PF00512	891	0.06648234111514505	0.10939901045208945	0.05247466943631333	0.08390573963915443	0.4143996859429613	0.6665555772655298
nat	PF00512	6541	0.07430932642525175	0.11012926693425167	0.05918430779198593	0.08240494491051857	0.4152375831778239	0.663168038597842
nat	PF00512	4386	0.06487788361728306	0.11648527364216145	0.05089842326950116	0.08735260845603195	0.35155658088074104	0.6485336738259704
nat	PF00512	4327	0.054103125072091945	0.11003921513990633	0.04176160664441909	0.08331501489997549	0.4556495390883657	0.6963699507028203
nat	PF00512	6972	0.06942813748354638	0.10708332948341892	0.05526504923489148	0.08331112547423629	0.4330475465376554	0.7154354982811064
nat	PF00512	941	0.0656413742807042	0.10853615606853265	0.05157894316555379	0.08340953805577167	0.4505756476561138	0.6807989054476329
nat	PF00512	2014	0.0714485938373933	0.13054752698558086	0.05683775141526933	0.09753610294850784	0.15305641213450294	0.5623060277270531
nat	PF00512	8582	0.06936007453680348	0.10653086255122983	0.05397055939540037	0.08097655554475827	0.4372283866998583	0.6890036240177957
