sequence_name	n_mutations	proposal_type	hmmer_seq_score
seq5	4900	msa_prob_dist	146.9
seq8	4900	msa_prob_dist	143.0
seq3	4900	msa_prob_dist	141.2
seq6	4900	msa_prob_dist	137.5
seq2	4900	msa_prob_dist	134.6
seq1	4900	msa_prob_dist	121.8
seq0	5000	msa_prob_dist	157.5
seq7	5000	msa_prob_dist	145.5
seq8	5000	msa_prob_dist	145.4
seq9	5000	msa_prob_dist	145.2
seq6	5000	msa_prob_dist	140.7
seq2	5000	msa_prob_dist	132.3
seq1	5000	msa_prob_dist	130.5
seq5	5000	msa_prob_dist	129.7
seq3	5000	msa_prob_dist	115.8
seq8	5100	msa_prob_dist	163.2
seq6	5100	msa_prob_dist	153.1
seq0	5100	msa_prob_dist	149.3
seq7	5100	msa_prob_dist	147.9
seq2	5100	msa_prob_dist	140.5
seq1	5100	msa_prob_dist	139.8
seq9	5100	msa_prob_dist	137.5
seq3	5100	msa_prob_dist	120.7
seq5	5100	msa_prob_dist	116.2
seq0	5200	msa_prob_dist	149.7
seq9	5200	msa_prob_dist	149.1
seq8	5200	msa_prob_dist	146.6
seq7	5200	msa_prob_dist	145.0
seq1	5200	msa_prob_dist	137.5
seq6	5200	msa_prob_dist	135.9
seq2	5200	msa_prob_dist	128.8
seq3	5200	msa_prob_dist	128.3
seq5	5200	msa_prob_dist	123.8
seq9	5300	msa_prob_dist	153.2
seq0	5300	msa_prob_dist	147.2
seq8	5300	msa_prob_dist	140.8
seq1	5300	msa_prob_dist	133.6
seq2	5300	msa_prob_dist	132.0
seq6	5300	msa_prob_dist	125.1
seq7	5300	msa_prob_dist	124.7
seq3	5300	msa_prob_dist	120.7
seq5	5300	msa_prob_dist	101.4
seq0	5400	msa_prob_dist	152.9
seq9	5400	msa_prob_dist	148.9
seq3	5400	msa_prob_dist	141.1
seq7	5400	msa_prob_dist	138.3
seq1	5400	msa_prob_dist	132.8
seq6	5400	msa_prob_dist	131.1
seq8	5400	msa_prob_dist	128.2
seq5	5400	msa_prob_dist	122.5
seq2	5400	msa_prob_dist	116.2
seq0	5500	msa_prob_dist	153.1
seq9	5500	msa_prob_dist	146.0
seq3	5500	msa_prob_dist	141.8
seq1	5500	msa_prob_dist	141.5
seq6	5500	msa_prob_dist	139.0
seq7	5500	msa_prob_dist	133.4
seq2	5500	msa_prob_dist	133.2
seq5	5500	msa_prob_dist	128.2
seq8	5500	msa_prob_dist	127.9
seq0	5600	msa_prob_dist	160.5
seq3	5600	msa_prob_dist	156.6
seq1	5600	msa_prob_dist	151.7
seq2	5600	msa_prob_dist	147.2
seq7	5600	msa_prob_dist	143.7
seq9	5600	msa_prob_dist	138.9
seq5	5600	msa_prob_dist	127.9
seq6	5600	msa_prob_dist	127.9
seq8	5600	msa_prob_dist	127.8
seq3	5700	msa_prob_dist	161.0
seq0	5700	msa_prob_dist	157.2
seq5	5700	msa_prob_dist	150.5
seq9	5700	msa_prob_dist	142.8
seq7	5700	msa_prob_dist	141.6
seq1	5700	msa_prob_dist	140.3
seq2	5700	msa_prob_dist	140.0
seq6	5700	msa_prob_dist	138.1
seq8	5700	msa_prob_dist	130.9
seq0	5800	msa_prob_dist	154.6
seq5	5800	msa_prob_dist	151.1
seq3	5800	msa_prob_dist	149.0
seq8	5800	msa_prob_dist	148.6
seq1	5800	msa_prob_dist	144.4
seq2	5800	msa_prob_dist	138.4
seq7	5800	msa_prob_dist	137.6
seq6	5800	msa_prob_dist	136.6
seq9	5800	msa_prob_dist	131.3
seq5	5900	msa_prob_dist	155.8
seq3	5900	msa_prob_dist	153.2
seq0	5900	msa_prob_dist	150.6
seq1	5900	msa_prob_dist	148.4
seq2	5900	msa_prob_dist	145.2
seq8	5900	msa_prob_dist	144.3
seq6	5900	msa_prob_dist	135.6
seq7	5900	msa_prob_dist	130.3
seq9	5900	msa_prob_dist	126.4
seq5	6000	msa_prob_dist	162.8
seq8	6000	msa_prob_dist	155.4
seq0	6000	msa_prob_dist	152.9
seq2	6000	msa_prob_dist	146.6
seq3	6000	msa_prob_dist	145.2
seq6	6000	msa_prob_dist	145.0
seq9	6000	msa_prob_dist	140.5
seq1	6000	msa_prob_dist	137.3
seq7	6000	msa_prob_dist	121.6
seq6	6100	msa_prob_dist	155.6
seq5	6100	msa_prob_dist	154.8
seq2	6100	msa_prob_dist	151.7
seq8	6100	msa_prob_dist	144.6
seq3	6100	msa_prob_dist	141.2
seq0	6100	msa_prob_dist	140.8
seq1	6100	msa_prob_dist	137.8
seq9	6100	msa_prob_dist	137.0
seq7	6100	msa_prob_dist	123.9
seq4	6100	msa_prob_dist	-2.5
seq5	6200	msa_prob_dist	165.4
seq8	6200	msa_prob_dist	155.3
seq6	6200	msa_prob_dist	154.4
seq1	6200	msa_prob_dist	152.2
seq0	6200	msa_prob_dist	145.3
seq2	6200	msa_prob_dist	142.5
seq3	6200	msa_prob_dist	133.1
seq9	6200	msa_prob_dist	132.5
seq7	6200	msa_prob_dist	130.2
seq5	6300	msa_prob_dist	155.7
seq2	6300	msa_prob_dist	151.8
seq8	6300	msa_prob_dist	148.8
seq6	6300	msa_prob_dist	147.8
seq7	6300	msa_prob_dist	145.6
seq1	6300	msa_prob_dist	141.5
seq0	6300	msa_prob_dist	141.3
seq9	6300	msa_prob_dist	130.9
seq3	6300	msa_prob_dist	120.5
seq0	6400	msa_prob_dist	154.0
seq8	6400	msa_prob_dist	152.4
seq2	6400	msa_prob_dist	148.9
seq5	6400	msa_prob_dist	145.3
seq1	6400	msa_prob_dist	144.3
seq6	6400	msa_prob_dist	142.9
seq9	6400	msa_prob_dist	138.8
seq7	6400	msa_prob_dist	137.8
seq3	6400	msa_prob_dist	120.8
seq5	6500	msa_prob_dist	158.7
seq6	6500	msa_prob_dist	158.2
seq2	6500	msa_prob_dist	155.3
seq8	6500	msa_prob_dist	154.3
seq0	6500	msa_prob_dist	153.1
seq1	6500	msa_prob_dist	147.6
seq3	6500	msa_prob_dist	132.0
seq9	6500	msa_prob_dist	128.1
seq7	6500	msa_prob_dist	120.9
seq6	6600	msa_prob_dist	158.4
seq0	6600	msa_prob_dist	154.2
seq8	6600	msa_prob_dist	151.4
seq2	6600	msa_prob_dist	148.5
seq5	6600	msa_prob_dist	148.0
seq3	6600	msa_prob_dist	143.0
seq9	6600	msa_prob_dist	137.9
seq1	6600	msa_prob_dist	134.1
seq7	6600	msa_prob_dist	126.2
seq5	6700	msa_prob_dist	159.4
seq6	6700	msa_prob_dist	150.0
seq2	6700	msa_prob_dist	146.2
seq3	6700	msa_prob_dist	143.3
seq8	6700	msa_prob_dist	143.0
seq9	6700	msa_prob_dist	140.8
seq0	6700	msa_prob_dist	140.3
seq7	6700	msa_prob_dist	131.6
seq1	6700	msa_prob_dist	115.5
seq6	6800	msa_prob_dist	157.6
seq2	6800	msa_prob_dist	156.9
seq5	6800	msa_prob_dist	155.9
seq9	6800	msa_prob_dist	153.1
seq8	6800	msa_prob_dist	150.2
seq7	6800	msa_prob_dist	148.4
seq3	6800	msa_prob_dist	145.7
seq0	6800	msa_prob_dist	141.0
seq1	6800	msa_prob_dist	126.3
seq5	6900	msa_prob_dist	158.2
seq6	6900	msa_prob_dist	156.8
seq8	6900	msa_prob_dist	155.4
seq0	6900	msa_prob_dist	148.3
seq2	6900	msa_prob_dist	148.2
seq7	6900	msa_prob_dist	143.3
seq9	6900	msa_prob_dist	140.0
seq3	6900	msa_prob_dist	135.5
seq1	6900	msa_prob_dist	118.4
seq9	7000	msa_prob_dist	156.1
seq2	7000	msa_prob_dist	155.8
seq5	7000	msa_prob_dist	150.4
seq8	7000	msa_prob_dist	149.7
seq7	7000	msa_prob_dist	148.1
seq6	7000	msa_prob_dist	146.8
