tool	family	seed_number	RMSE (training)	RMSE (test)	MAE (training)	MAE (test)	R^2 (test)	Pearson (test)
nat	PF00041	891	0.06734206693778538	0.10605586603940059	0.05258961500825812	0.08147765600095233	0.3923258472937948	0.6423949012397765
nat	PF00041	6541	0.07131426588353412	0.08544743533591193	0.056223337350417665	0.06725709019491001	0.37471278918483253	0.7063964044539552
nat	PF00041	4386	0.06765359409154645	0.09800636293723104	0.05255617600100101	0.07399623170506643	0.18955266164896278	0.5678838752355885
nat	PF00041	4327	0.06795800279973564	0.09796669985313695	0.053379371074186	0.07527809967218303	0.21321709656289878	0.553399717687598
nat	PF00041	6972	0.07302340136537266	0.08406880080204612	0.05704175870754115	0.06800608061341153	0.5470934150388334	0.7595366954636225
nat	PF00041	941	0.06621332135906421	0.10113523751102481	0.052151335217434217	0.07539054437749437	0.2653365055651755	0.57503458477635
nat	PF00041	2014	0.07453955943635103	0.0746555602275647	0.058452318190181006	0.05933043667727286	0.5556391166940459	0.7609937782844448
nat	PF00041	8582	0.07358815325215279	0.07998823732357586	0.05745988952649205	0.06119865855389343	0.48129207391575257	0.7216233389316067
nat	PF00072	859	0.04254667212650638	0.07981388140282608	0.03334341740291652	0.06407513555861394	0.631761638596092	0.8264138505385662
nat	PF00072	7733	0.04454006088837415	0.09153233532703861	0.03539022365467563	0.07305268993576841	0.2559652991016924	0.7041682169936287
nat	PF00072	891	0.042350024219493874	0.09072511331361602	0.03407699361430333	0.07479247693725227	0.3288874781015334	0.6671166115157565
nat	PF00072	6541	0.04351080370552104	0.10084690521375979	0.03485143182384595	0.07838659194995187	0.47473401740768617	0.6937392101771017
nat	PF00072	4386	0.03840618142742811	0.10831912164652173	0.030169834688370225	0.08754751859642405	0.4744793743158984	0.7051936101641778
nat	PF00072	4327	0.04179305888096961	0.12406255127243045	0.03268373549365389	0.09405497683667739	0.34606215890619163	0.6638175995452986
nat	PF00072	6972	0.03898023393716835	0.12002465987397815	0.030335328722742822	0.10005799775788393	0.06892783337278163	0.779485467165048
nat	PF00072	941	0.03953216425473066	0.15819423042456557	0.031166478074471336	0.12427830754804418	-0.43291101341320326	0.5711538486988257
nat	PF00072	2014	0.04308839275621481	0.1257967512129927	0.034106830164252366	0.09387471152465174	-0.2139586939716911	0.5447551679276263
