	tool	family	mean_fd_corr_corrected	sd_fd_corr_corrected	mean_fd_corr_uncorrected	sd_fd_corr_uncorrected
25	ESM2-33T-650M-logits	PF01535	0.1511877447763557	0.04817347562030838	0.1686839475629465	0.05129125033770832
26	ESM2-33T-650M-logits	PF07679	0.19912676156791892	0.08909535516995903	0.24090555602707603	0.07686487677227843
27	ESM2-33T-650M-logits	PF02518	0.3118561303996185	0.056004272974561564	0.3855279659044034	0.04487542824392949
28	ESMC-logits	PF00004	0.7109673981452196	0.028130460828187025	0.794350759441227	0.023534840834997704
29	ESMC-logits	PF00005	0.23251241370967074	0.08631347320020755	0.2439024145994102	0.08411071907208137
30	ESMC-logits	PF00041	0.24809772507732086	0.03897413048331472	0.2953648199853275	0.03533028996998478
31	ESMC-logits	PF00072	0.3408584898724544	0.06725432020784049	0.3605509342184633	0.06439552080931298
32	ESMC-logits	PF00076	0.3150396443218892	0.09202798633226074	0.36566204575889516	0.08183418226664455
33	ESMC-logits	PF00096	0.17050451507674572	0.055359626469542546	0.18856131987052988	0.05222030084163314
34	ESMC-logits	PF00153	0.31191714282734245	0.0333824002372891	0.4252634004780078	0.030527757965043728
35	ESMC-logits	PF00271	0.2702911843895295	0.06140933182331513	0.3332336077517514	0.049624213157035045
36	ESMC-logits	PF00397	0.14370539939065252	0.039099471526707154	0.18553141476866494	0.03548738109131452
37	ESMC-logits	PF00512	0.3522015311936498	0.05661034585510755	0.4388997555455874	0.04943647922579336
38	ESMC-logits	PF00595	0.5125631192984399	0.09219570745895604	0.6794201224451707	0.05257341668475277
39	ESMC-logits	PF01535	0.16504919263538695	0.06293470713310025	0.18541249956942926	0.0641735742392512
40	ESMC-logits	PF07679	0.3103871825601492	0.06997425350142505	0.34984274501610624	0.05997752181378751
41	ESMC-logits	PF02518	0.2895962030193281	0.08713387717188012	0.3747288208439298	0.07126073238589643
42	Potts	PF00004	0.6883361579422095	0.02694285014673658	0.739708460994572	0.023694822420782625
43	Potts	PF00005	0.30311067257826557	0.06003270205876347	0.3193039101815151	0.05595189224426012
44	Potts	PF00041	0.28402020629297875	0.04609306387873821	0.3297249528036431	0.043773415784156604
45	Potts	PF00072	0.38521946213396785	0.05071603760473287	0.408326694734953	0.05096669379576862
46	Potts	PF00096	0.136888613843489	0.022777005575873553	0.1563605389647952	0.019830451027388625
47	Potts	PF00271	0.3763036502152908	0.06122115723850555	0.43369941727841993	0.058151373206683295
48	Potts	PF00397	0.2111433734649467	0.02729749968472512	0.25095852947538366	0.02771152710200237
49	Potts	PF00595	0.5015528326959988	0.038970033191983826	0.5827353995816931	0.029115671112057158
50	Potts	PF01535	0.1803189449928137	0.016758200375450887	0.20235102471785557	0.015057407483335875
51	Potts	PF07679	0.39247466502705186	0.04181775305675662	0.42140326617649154	0.036986203124617825
