tool	family	sim_ind	corrected_fd_corr	uncorrected_fd_corr
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00004	3	0.6395287754591686	0.7164523061139846
MSA-1b-logitsprop-static-10-init-seq-0	PF01535	2	0.0638494859869213	0.08239554317079914
MSA-1b-logitsprop-static-10-init-seq-0	PF01535	3	0.09175818051024939	0.11925597056519875
MSA-1b-logitsprop-static-10-init-seq-0	PF01535	5	0.06339172343544842	0.08007286410815308
MSA-1b-logitsprop-static-10-init-seq-0	PF01535	4	0.10831364669855534	0.12958590109463608
MSA-1b-logitsprop-static-10-init-seq-0	PF01535	8	0.03417375444291882	0.05163469031617335
MSA-1b-logitsprop-static-10-init-seq-0	PF01535	6	0.018361884299829278	0.0333788348699467
MSA-1b-logitsprop-static-10-init-seq-0	PF01535	7	0.06096120843908102	0.08026978475827178
MSA-1b-logitsprop-static-10-init-seq-0	PF01535	1	0.09006754101150194	0.10780481068120619
MSA-1b-logitsprop-static-10-init-seq-0	PF01535	10	0.1162336392652158	0.13629379618900905
MSA-1b-logitsprop-static-10-init-seq-0	PF01535	9	0.10311470406918835	0.12242683650517042
MSA-1b-logitsprop-static-100-init-seq-0	PF01535	2	0.08241903726234083	0.10447825559351562
MSA-1b-logitsprop-static-100-init-seq-0	PF01535	3	0.08793909833566943	0.10706587243301154
MSA-1b-logitsprop-static-100-init-seq-0	PF01535	5	0.13904579163063072	0.16100883605433192
MSA-1b-logitsprop-static-100-init-seq-0	PF01535	4	0.11482334687838336	0.13553345490342047
MSA-1b-logitsprop-static-100-init-seq-0	PF01535	8	0.0756507705039778	0.09348545288686234
MSA-1b-logitsprop-static-100-init-seq-0	PF01535	6	0.11673449555823812	0.1434180224417048
MSA-1b-logitsprop-static-100-init-seq-0	PF01535	7	0.06936607721612305	0.09193742888741
MSA-1b-logitsprop-static-100-init-seq-0	PF01535	1	0.09544692706177314	0.11743273127728816
MSA-1b-logitsprop-static-100-init-seq-0	PF01535	10	0.10252567022120063	0.12971040007510834
MSA-1b-logitsprop-static-100-init-seq-0	PF01535	9	0.1188320847932016	0.14243357505010873
